1,101,24.50,18.20,10.000,10.000,85.679,99.074
2,101,78.20,112.40,15.000,25.000,86.100,98.700
3,101,145.75,215.60,25.000,35.000,84.900,99.500
4,102,33.40,42.10,12.000,18.000,85.300,98.900
5,102,96.10,156.80,20.000,30.000,86.000,99.300
6,102,171.25,242.30,30.000,40.000,85.850,98.450
7,201,21.60,15.70,60.000,60.000,11.737,11.615
8,201,69.90,108.20,62.000,58.000,12.100,11.300
9,201,138.40,203.50,65.000,55.000,11.200,12.000
10,202,29.75,36.40,55.000,50.000,11.500,11.100
11,202,88.60,145.30,58.000,48.000,12.250,12.100
12,202,159.30,226.90,63.000,47.000,11.050,11.800
13,301,26.80,22.60,80.000,20.000,83.802,1.277
14,301,74.45,118.70,82.000,18.000,84.200,1.050
15,301,149.90,208.40,79.000,22.000,83.300,1.600
16,302,31.25,51.20,75.000,15.000,83.600,0.900
17,302,91.35,164.90,77.000,17.000,84.050,1.750
18,302,176.80,255.10,81.000,19.000,83.450,1.200
